Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2021-09-16 07:37:24,false,"Pool Swimming","1,850","371","00:46:58","144","171","3.5","--","--","2:08","1:25","--","--","0.00","0.0","0.0","0.0","0.0","0.0","858","45","24","--","--","0:00","0.0","0:00","No","00:05.86","15","0.0","00:00:00","00:47:16","--","--"
Running,2021-09-13 09:55:31,false,"Marquette Running","2.57","313","00:30:02","137","158","3.3","152","214","11:41","8:09","102","102","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:25.30","3","0.0","00:00:00","00:35:05","604","708"
Running,2021-09-11 08:39:13,false,"Marquette Running","3.08","357","00:34:29","140","177","3.6","153","170","11:12","7:10","94","95","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:46.78","4","0.0","00:00:00","00:37:48","604","709"
Strength Training,2021-09-09 07:52:38,false,"Strength","0.00","285","01:17:15","91","136","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:17:15.48","1","0.0","00:00:00","01:17:15","--","--"
Running,2021-09-08 07:46:59,false,"Phoenix Running","2.71","350","00:30:21","153","176","4.0","155","167","11:12","7:32","33","27","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:53.67","3","0.0","00:00:00","00:30:21","1,362","1,445"
Pool Swimming,2021-09-08 07:02:51,false,"Pool Swimming","1,475","259","00:32:44","139","159","3.1","--","--","1:58","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","706","42","24","--","--","0:00","0.0","0:00","No","00:09.21","12","0.0","00:00:00","00:38:23","--","--"
Hiking,2021-09-04 19:23:38,false,"Maricopa County Hiking","2.47","315","01:40:05","85","114","1.1","98","160","40:31","17:01","149","144","0.41","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","24:19.76","3","0.0","00:00:00","01:40:06","2,061","2,212"
Pool Swimming,2021-09-03 08:03:51,false,"Pool Swimming","1,675","307","00:41:22","138","159","3.2","--","--","2:09","1:30","--","--","0.00","0.0","0.0","0.0","0.0","0.0","732","46","25","--","--","0:00","0.0","0:00","No","00:02.39","14","0.0","00:00:00","00:43:28","--","--"
Running,2021-09-02 07:12:55,false,"Phoenix Running","2.90","359","00:35:47","136","156","3.3","152","176","12:20","10:18","42","39","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","11:05.70","3","0.0","00:00:00","00:35:47","1,401","1,433"
Strength Training,2021-09-01 07:23:27,false,"Strength","0.00","450","01:21:47","114","142","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","36","8","0:00","0.0","0:00","No","00:02.97","15","0.0","00:00:00","01:21:47","--","--"
Pool Swimming,2021-08-31 07:07:47,false,"Pool Swimming","850","147","00:23:44","127","143","2.1","--","--","2:03","1:03","--","--","0.00","0.0","0.0","0.0","0.0","0.0","343","42","22","--","--","0:00","0.0","0:00","No","00:00.94","13","0.0","00:00:00","00:24:01","--","--"
Running,2021-08-30 07:57:48,false,"Phoenix Running","2.36","298","00:27:39","148","177","3.6","151","202","11:42","8:56","33","33","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:15.20","3","0.0","00:00:00","00:27:39","1,401","1,434"
Pool Swimming,2021-08-23 07:47:20,false,"Pool Swimming","1,475","253","00:40:04","131","168","2.7","--","--","2:11","1:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","742","45","23","--","--","0:00","0.0","0:00","No","00:01.73","15","0.0","00:00:00","00:42:31","--","--"
Other,2021-08-20 07:32:32,false,"Phoenix Walk","1.73","187","00:38:10","103","134","1.3","104","125","2.7","4.3","18","18","0.70","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","16:11.33","2","0.0","00:00:00","00:38:10","1,412","1,433"
Running,2021-08-18 13:38:36,false,"Phoenix Running","2.22","262","00:23:05","158","186","3.8","151","178","10:23","6:04","18","23","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:16.55","4","0.0","00:00:00","00:23:05","1,407","1,434"
Pool Swimming,2021-08-18 06:46:08,false,"Pool Swimming","1,075","186","00:25:00","130","146","2.5","--","--","2:11","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","549","46","23","--","--","0:00","0.0","0:00","No","01:29.01","5","0.0","00:00:00","00:30:09","--","--"
Running,2021-08-16 07:59:02,false,"Phoenix Running","1.75","225","00:21:30","145","173","3.4","150","158","12:17","11:22","21","21","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:29.94","2","0.0","00:00:00","00:21:30","1,407","1,433"
Pool Swimming,2021-08-12 07:05:16,false,"Pool Swimming","1,175","191","00:34:46","125","147","2.3","--","--","2:25","1:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","578","48","20","--","--","0:00","0.0","0:00","No","02:43.13","8","0.0","00:00:00","00:42:36","--","--"
Other,2021-08-10 17:32:20,false,"Phoenix Walk","4.35","592","02:03:55","109","169","2.6","101","160","2.1","4.8","794","799","0.56","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:10.26","5","0.0","01:49:48","02:03:55","1,368","2,064"
Other,2021-08-10 07:51:21,false,"Phoenix Walk","4.00","345","01:21:10","103","157","1.3","106","145","3.0","5.4","60","60","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:07.70","5","0.0","01:18:14","01:21:10","1,385","1,433"
Pool Swimming,2021-08-09 17:48:33,false,"Pool Swimming","--","--","00:00:13.2","63","64","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:13.16","1","0.0","00:00:00","00:00:25.8","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","229","00:32:03","135","157","3.0","--","--","2:00","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","617","41","23","--","--","0:00","0.0","0:00","No","05:28.72","3","0.0","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","302","00:32:03","--","--","--","--","--","2:00","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","617","41","23","--","--","0:00","0.0","0:00","No","05:28.72","3","0.0","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-06 19:37:06,false,"Pool Swimming","1,375","266","00:32:17","141","171","3.1","--","--","2:14","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","708","46","23","--","--","0:00","0.0","0:00","No","00:02.01","12","0.0","00:30:43","00:44:12","--","--"
Running,2021-08-05 07:01:33,false,"Phoenix Running","4.32","592","00:53:52","157","179","4.5","146","162","12:28","10:01","46","56","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.67","7","0.0","00:53:35","00:53:52","1,374","1,434"
