Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2022-09-10 06:40:36,false,"Phoenix Hiking","7.31","1,056","02:43:10","119","156","2.7","87","174","22:19","16:48","788","784","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","82.4","0:00","No","02:43:09.70.1","1","0.0","--","--","--","--","--","--","--","02:22:50","02:43:10","1,698","2,079"
Walking,2022-09-09 08:07:08,false,"Phoenix Walking","1.77","216","00:40:04","104","123","1.0","82","119","22:40","17:38","43","50","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","89.6","0:00","No","15:02.99.2","2","0.0","--","--","--","--","--","--","--","00:33:14","00:40:04","1,404","1,430"
Running,2022-09-09 06:51:39,false,"Phoenix Running","1.79","233","00:20:21","146","160","2.7","153","165","11:23","10:32","45","44","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","09:06.77.3","2","0.0","--","--","--","--","--","--","--","00:20:16","00:20:21","1,407","1,439"
Yoga,2022-09-08 08:50:56,false,"Yoga","0.00","59","00:23:29","81","103","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","87.8","0:00","No","23:28.55.8","1","0.0","13","7","17","34","21","55","48","00:23:29","00:23:29","--","--"
Walking,2022-09-07 07:16:02,false,"Phoenix Walking","1.52","183","00:36:58","99","116","0.7","82","138","24:19","17:13","56","58","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","89.6","0:00","No","12:57.36.4","2","0.0","--","--","--","--","--","--","--","00:31:27","00:36:58","1,405","1,432"
Yoga,2022-09-06 19:51:23,false,"Yoga","0.00","97","00:22:24","93","124","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","87.8","0:00","No","22:23.50","1","0.0","14","12","17","41","31","72","69","00:22:24","00:22:24","--","--"
Hiking,2022-09-06 07:28:08,false,"Phoenix Hiking","4.92","982","02:02:22","132","187","4.3","77","160","24:53","16:48","882","896","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","84.2","0:00","No","02:02:21.78.6","1","0.0","--","--","--","--","--","--","--","01:38:15","02:02:22","1,347","1,999"
Walking,2022-09-04 06:58:55,false,"Phoenix Walking","1.91","227","00:44:54","102","123","0.8","78","132","23:29","16:20","50","56","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","89.6","0:00","No","20:13.52.4","2","0.0","--","--","--","--","--","--","--","00:38:57","00:44:54","1,385","1,427"
Yoga,2022-09-03 13:30:00,false,"Yoga","0.00","67","00:20:00","0","0","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--","00:00:00","00:00:00","--","--"
Yoga,2022-09-02 09:06:19,false,"Yoga","0.00","64","00:21:11","85","104","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","87.8","0:00","No","21:10.97.2","1","0.0","14","12","16","-22","83","61","53","00:21:11","00:21:11","--","--"
Walking,2022-09-02 06:45:02,false,"Phoenix Walking","2.07","244","00:49:14","98","120","0.8","80","161","23:44","17:19","54","59","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","87.8","0:00","No","01:50.01.3","3","0.0","--","--","--","--","--","--","--","00:42:42","00:49:14","1,394","1,438"
Yoga,2022-09-01 08:01:45,false,"Yoga","0.00","117","00:22:29","102","125","0.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","86.0","0:00","No","22:28.64.5","1","0.0","13","8","15","-25","53","28","85","00:22:29","00:22:29","--","--"
Yoga,2022-08-31 08:04:45,false,"Yoga","0.00","85","00:27:00","85","102","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","89.6","0:00","No","27:00.42.5","1","0.0","14","10","21","12","54","66","58","00:27:00","00:27:00","--","--"
Walking,2022-08-24 18:46:36,false,"Phoenix Walking","2.00","231","00:46:38","97","110","0.7","88","115","23:16","18:55","183","140","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","91.4","0:00","No","00:03.65","3","0.0","--","--","--","--","--","--","--","00:41:56","00:46:38","1,392","1,470"
Running,2022-08-23 19:15:12,false,"Phoenix Running","1.50","193","00:17:59","147","163","2.3","151","172","11:57","11:03","14","38","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","89.6","0:00","No","06:01.25.9","2","0.0","--","--","--","--","--","--","--","00:17:56","00:17:59","1,383","1,425"
Running,2022-08-19 06:27:10,false,"Phoenix Running","1.44","189","00:16:28","148","165","2.4","153","171","11:25","10:23","32","32","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","05:09.78.1","2","0.0","--","--","--","--","--","--","--","00:16:23","00:16:28","1,407","1,435"
Walking,2022-08-03 18:44:51,false,"Biddeford Walking","0.44","310","00:37:02","120","151","2.0","19","234","--","7:27","4","8","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","00:00.95.9","4","0.0","--","--","--","--","--","--","--","00:05:17","00:37:02","1","10"
Cardio,2022-07-21 20:23:08,false,"Cardio","0.00","259","00:19:25","148","162","3.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","19:24.83.3","1","0.0","--","--","--","--","--","--","--","00:00:00","00:20:41","--","--"
Strength Training,2022-07-16 08:36:56,false,"Strength","0.00","296","00:44:45","109","143","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","56","16","0:00","82.4","0:00","No","44:44.82.2","1","0.0","--","--","--","--","--","--","--","00:26:52","00:44:45","--","--"
Strength Training,2022-07-12 19:40:19,false,"Strength","0.00","276","00:38:08","112","152","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","82","10","0:00","82.4","0:00","No","38:08.45.7","1","0.0","--","--","--","--","--","--","--","00:26:35","00:38:08","--","--"
Cardio,2022-07-05 16:15:38,false,"Cardio","0.00","391","00:50:12","121","164","3.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","50:11.90.5","1","0.0","--","--","--","--","--","--","--","00:00:00","00:51:38","--","--"
Strength Training,2022-06-28 16:08:46,false,"Strength","0.00","496","01:42:27","99","136","1.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","50","13","0:00","84.2","0:00","No","01:42:26.65.9","1","0.0","--","--","--","--","--","--","--","01:24:03","01:42:27","--","--"
Cardio,2022-06-26 18:14:49,false,"Cardio","0.00","378","00:31:17","140","162","3.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","82.4","0:00","No","31:16.89.5","1","0.0","--","--","--","--","--","--","--","00:00:00","00:35:43","--","--"
Strength Training,2022-06-26 17:57:22,false,"Strength","0.00","86","00:14:43","100","126","0.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","48","8","0:00","86.0","0:00","No","14:42.71","1","0.0","--","--","--","--","--","--","--","00:12:59","00:14:43","--","--"
Hiking,2022-06-22 05:55:10,false,"Phoenix Hiking","3.95","631","01:25:03","127","173","3.2","96","242","21:32","16:20","851","860","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","01:25:02.98.2","1","0.0","--","--","--","--","--","--","--","01:19:02","01:25:05","1,351","2,089"
Strength Training,2022-06-18 08:32:51,false,"Strength","0.00","344","00:46:28","115","141","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","81","16","0:00","84.2","0:00","No","46:27.60","1","0.0","--","--","--","--","--","--","--","00:28:09","00:46:28","--","--"
Walking,2022-06-15 05:50:20,false,"Phoenix Walking","2.02","239","00:51:41","91","112","0.7","76","153","25:36","18:19","60","57","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","07:44.70.3","3","0.0","--","--","--","--","--","--","--","00:40:38","00:51:41","1,401","1,434"
Strength Training,2022-06-14 19:03:55,false,"Strength","0.00","312","00:46:27","110","151","1.8","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","65","16","0:00","82.4","0:00","No","46:26.82.6","1","0.0","--","--","--","--","--","--","--","00:28:28","00:46:27","--","--"
Pool Swimming,2022-06-12 10:56:37,false,"Pool Swimming","2,075","485","00:49:42","145","161","3.4","0","0","2:03","0:51","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","724","42","22","0","--","0:00","0.0","0:00","No","00:08.60.5","14","0.0","--","--","--","--","--","--","--","00:42:35","00:49:57","--","--"
Strength Training,2022-06-07 17:34:25,false,"Strength","0.00","312","01:03:03","98","136","0.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","10","1","0:00","84.2","0:00","No","01:03:02.89.3","1","0.0","--","--","--","--","--","--","--","01:03:03","01:03:03","--","--"
Pool Swimming,2022-06-03 09:27:33,false,"Pool Swimming","1,475","312","00:36:57","141","176","3.0","0","0","1:58","1:12","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","544","40","22","0","--","0:00","0.0","0:00","No","00:09.40.6","12","0.0","--","--","--","--","--","--","--","00:29:06","00:37:33","--","--"
Running,2022-06-01 07:48:14,false,"Phoenix Running","1.70","226","00:20:20","140","157","2.4","146","163","11:56","10:12","39","34","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","87.8","0:00","No","09:18.44.7","2","0.0","--","--","--","--","--","--","--","00:19:45","00:20:20","1,398","1,433"
Pool Swimming,2022-05-30 08:17:47,false,"Pool Swimming","1,275","287","00:33:55","144","164","3.0","0","0","2:03","1:21","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","478","42","22","0","--","0:00","0.0","0:00","No","00:10.90.4","14","0.0","--","--","--","--","--","--","--","00:26:08","00:34:09","--","--"
Hiking,2022-05-25 05:48:31,false,"Phoenix Hiking","4.98","802","02:14:11","113","169","2.8","84","159","26:57","18:40","874","900","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","02:14:10.72.1","1","0.0","--","--","--","--","--","--","--","01:54:41","02:14:11","1,352","2,079"
Running,2022-05-06 19:13:18,false,"Phoenix Running","1.84","238","00:20:24","145","157","2.4","153","158","11:07","10:18","30","42","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","89.6","0:00","No","09:28.26.2","2","0.0","--","--","--","--","--","--","--","00:20:23","00:20:24","1,407","1,440"
Running,2022-05-02 19:01:41,false,"Phoenix Running","2.01","265","00:22:39","141","154","2.5","149","186","11:15","9:51","66","54","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","87.8","0:00","No","00:08.64","3","0.0","--","--","--","--","--","--","--","00:22:10","00:23:07","1,400","1,428"
Pool Swimming,2022-04-30 17:47:46,false,"Pool Swimming","1,075","208","00:27:54","137","163","2.7","0","0","1:59","1:04","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","461","41","22","0","--","0:00","0.0","0:00","No","00:08.76.7","10","0.0","--","--","--","--","--","--","--","00:21:23","00:28:08","--","--"
Strength Training,2022-04-28 08:14:08,false,"Strength","0.00","361","00:38:19","131","170","2.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","102","10","0:00","82.4","0:00","No","38:18.61.1","1","0.0","--","--","--","--","--","--","--","00:20:42","00:38:19","--","--"
Strength Training,2022-04-26 19:05:42,false,"Strength","0.00","432","00:58:31","120","161","2.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","125","16","0:00","82.4","0:00","No","58:30.75.2","1","0.0","--","--","--","--","--","--","--","00:30:02","00:58:31","--","--"
Running,2022-04-24 07:52:24,false,"Phoenix Running","1.71","225","00:18:16","144","154","2.6","155","164","10:39","9:45","57","47","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","07:58.14","2","0.0","--","--","--","--","--","--","--","00:18:14","00:18:16","1,411","1,448"
Strength Training,2022-04-22 07:27:25,false,"Strength","0.00","282","00:32:32","122","154","2.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","86","11","0:00","82.4","0:00","No","32:31.78.1","1","0.0","--","--","--","--","--","--","--","00:22:07","00:32:32","--","--"
Pool Swimming,2022-04-18 18:59:10,false,"Pool Swimming","1,525","336","00:36:46","141","163","2.9","0","0","2:03","1:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","526","41","21","0","--","0:00","84.2","0:00","No","00:11.17.5","12","0.0","--","--","--","--","--","--","--","00:31:21","00:37:16","--","--"
Running,2022-04-13 18:48:32,false,"Phoenix Running","1.53","197","00:16:33","138","153","2.3","152","159","10:51","10:01","45","35","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","75.2","0:00","No","05:42.86.7","2","0.0","--","--","--","--","--","--","--","00:16:28","00:16:44","1,417","1,449"
Strength Training,2022-04-11 19:23:07,false,"Strength","0.00","279","00:33:03","121","152","2.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","98","7","0:00","82.4","0:00","No","33:03.44.2","1","0.0","--","--","--","--","--","--","--","00:21:17","00:33:03","--","--"
Pool Swimming,2022-04-09 18:50:27,false,"Pool Swimming","1,225","278","00:30:13","135","155","2.7","0","0","1:59","1:17","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","508","40","21","0","--","0:00","84.2","0:00","No","00:19.70.8","8","0.0","--","--","--","--","--","--","--","00:24:20","00:30:18","--","--"
Strength Training,2022-04-05 07:47:43,false,"Strength","0.00","371","00:39:56","127","166","2.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","43","9","0:00","84.2","0:00","No","39:56.36","1","0.0","--","--","--","--","--","--","--","00:24:05","00:40:05","--","--"
Running,2022-03-25 17:16:48,false,"Phoenix Running","1.64","217","00:18:07","150","162","2.5","152","163","11:02","10:09","49","44","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","91.4","0:00","No","07:14.68.8","2","0.0","--","--","--","--","--","--","--","00:18:01","00:18:07","1,409","1,441"
Strength Training,2022-03-23 19:14:08,false,"Strength","0.00","330","00:46:27","115","150","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","234","19","0:00","82.4","0:00","No","46:27.34.5","1","0.0","--","--","--","--","--","--","--","00:28:14","00:46:27","--","--"
Strength Training,2022-03-19 09:17:27,false,"Strength","0.00","383","00:40:21","130","172","2.8","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","200","11","0:00","82.4","0:00","No","40:21.16.6","1","0.0","--","--","--","--","--","--","--","00:25:45","00:40:21","--","--"
