Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-31 09:46:17,false,"Phoenix Running","3.87","479","00:40:06","152","169","3.9","153","172","10:22","7:45","105","110","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","69.8","0:00","No","00:00.73","7","0.0","--","--","--","00:39:53","00:40:07","1,396","1,436"
Running,2021-12-29 08:55:11,false,"Phoenix Running","1.46","176","00:16:44","132","144","2.4","152","160","11:29","10:48","34","39","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","62.6","0:00","No","05:09.29","2","0.0","--","--","--","00:16:44","00:16:44","1,407","1,438"
Running,2021-12-28 17:34:00,false,"Phoenix Running","4.93","608","00:54:12","148","166","3.8","153","180","11:00","9:33","113","99","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","59.0","0:00","No","00:12.02","6","0.0","--","--","--","00:54:06","00:55:32","1,402","1,442"
Running,2021-12-26 16:25:22,false,"Phoenix Running","1.58","199","00:18:10","140","157","2.6","147","209","11:28","10:32","54","48","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","71.6","0:00","No","06:59.42","2","0.0","15","15","15","00:17:44","00:18:10","1,404","1,438"
Running,2021-12-23 09:10:33,false,"Phoenix Running","4.16","547","00:53:06","140","164","3.3","152","219","12:46","9:27","52","56","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:54.54","5","0.0","--","--","--","00:49:14","00:53:06","1,401","1,437"
Hiking,2021-12-17 13:46:20,false,"Pinal County Hiking","3.85","726","02:24:13","108","152","2.2","109","160","37:31","18:04","815","810","0.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","27:32.70","4","0.0","--","--","--","01:51:23","02:24:13","2,304","3,140"
Hiking,2021-12-12 11:48:37,false,"Pinal County Hiking","6.16","1,301","04:01:45","113","176","2.0","112","240","39:13","3:10","1,819","1,807","0.37","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:38.19","7","0.0","--","--","--","03:05:59","04:01:45","2,320","3,804"
Running,2021-12-07 17:44:20,false,"Phoenix Running","3.59","467","00:41:04","146","179","3.8","151","163","11:27","7:39","46","50","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","05:48.41","4","0.0","--","--","--","00:38:24","00:41:04","1,401","1,434"
Running,2021-12-05 17:02:56,false,"Phoenix Running","3.14","387","00:34:26","144","165","3.5","151","240","10:57","6:47","101","34","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:32.39","4","0.0","--","--","--","00:34:23","00:34:26","1,357","1,433"
Pool Swimming,2021-12-02 18:35:20,false,"Pool Swimming","1,825","393","00:43:21","146","179","3.5","--","--","2:02","1:25","--","--","0.00","0.0","0.0","0.0","0.0","0.0","670","42","21","--","--","0:00","0.0","0:00","No","00:10.82","12","0.0","--","--","--","00:37:13","00:43:34","--","--"
Strength Training,2021-11-27 16:16:58,false,"Strength","0.00","529","02:03:41","97","149","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:03:40.52","1","0.0","--","--","--","00:00:00","02:03:41","--","--"
Pool Swimming,2021-11-26 18:25:21,false,"Pool Swimming","1,400","283","00:34:42","142","183","3.2","--","--","2:03","1:31","--","--","0.00","0.0","0.0","0.0","0.0","0.0","548","42","21","--","--","0:00","0.0","0:00","No","00:04.72","9","0.0","--","--","--","00:28:49","00:34:58","--","--"
Running,2021-11-24 17:12:02,false,"Phoenix Running","1.62","202","00:18:46","137","158","2.6","149","158","11:36","10:32","12","15","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:20.50","2","0.0","--","--","--","00:18:46","00:18:46","1,412","1,432"
