Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-05-08 19:02:08,false,"Phoenix Running","2.42","303","00:30:20","131","143","2.6","152","161","12:31","11:11","10","13","0.85","0.0","0.0","0.0","0.0","0.0","--","--","30:20","0:00","0.0","0:00","No","05:31.50","3","0.0"
Running,2021-05-06 19:06:04,false,"Phoenix Running","2.68","348","00:32:34","139","158","2.8","151","161","12:10","10:27","31","35","0.88","0.0","0.0","0.0","0.0","0.0","--","--","32:34","0:00","0.0","0:00","No","08:27.24","3","0.0"
Strength Training,2021-05-05 07:15:34,false,"Strength","0.00","386","01:42:50","90","133","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:42:50","0:00","0.0","0:00","No","01:42:50.45","1","0.0"
Running,2021-05-04 18:58:12,false,"Phoenix Running","2.87","364","00:34:31","136","153","3.0","151","163","12:01","11:01","28","28","0.89","0.0","0.0","0.0","0.0","0.0","--","--","34:31","0:00","0.0","0:00","No","10:39.36","3","0.0"
Running,2021-04-29 18:54:43,false,"Phoenix Running","2.48","314","00:30:20","136","165","2.7","152","158","12:14","8:49","18","21","0.87","0.0","0.0","0.0","0.0","0.0","--","--","30:20","0:00","0.0","0:00","No","06:13.37","3","0.0"
Strength Training,2021-04-28 07:33:25,false,"Strength","0.00","278","01:09:45","91","137","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","54","4","1:09:45","0:00","0.0","0:00","No","01:09:45.49","1","0.0"
Running,2021-04-27 07:57:43,false,"Phoenix Running","2.53","309","00:30:35","131","143","2.7","153","163","12:06","11:01","15","18","0.87","0.0","0.0","0.0","0.0","0.0","--","--","30:35","0:00","0.0","0:00","No","06:23.21","3","0.0"
Strength Training,2021-04-26 08:06:04,false,"Strength","0.00","294","01:09:37","94","121","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:09:37","0:00","0.0","0:00","No","01:09:36.65","1","0.0"
Hiking,2021-04-25 07:34:53,false,"Two Bit hike","2.32","553","01:50:05","103","153","2.4","111","160","47:28","16:04","833","937","0.31","0.0","0.0","0.0","0.0","0.0","--","--","1:50:05","0:00","0.0","0:00","No","03:37.88","4","0.0"
Strength Training,2021-04-21 20:05:24,false,"Strength","0.00","347","01:12:18","101","143","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","8","1","1:12:18","0:00","0.0","0:00","No","01:12:18.48","1","0.0"
Running,2021-04-21 07:04:08,false,"Phoenix Running","1.95","244","00:24:35","130","143","2.6","153","163","12:36","11:01","26","26","0.83","0.0","0.0","0.0","0.0","0.0","--","--","24:35","0:00","0.0","0:00","No","12:12.88","2","0.0"
Running,2021-04-19 18:35:32,false,"Phoenix Running","1.81","225","00:23:13","127","142","2.5","149","244","12:50","11:14","10","16","0.84","0.0","0.0","0.0","0.0","0.0","--","--","23:13","0:00","0.0","0:00","No","10:38.92","2","0.0"
Running,2021-04-18 09:53:00,false,"Phoenix Running","2.45","325","00:30:05","141","154","3.1","145","250","12:18","10:01","28","28","0.90","0.0","0.0","0.0","0.0","0.0","--","--","30:05","0:00","0.0","0:00","No","05:40.64","3","0.0"
Strength Training,2021-04-17 20:14:51,false,"Strength","0.00","402","01:21:26","103","137","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:21:26","0:00","0.0","0:00","No","01:21:25.91","1","0.0"
Running,2021-04-16 08:28:29,false,"Phoenix Running","2.66","333","00:30:09","141","161","3.4","151","164","11:21","10:16","41","39","0.94","0.0","0.0","0.0","0.0","0.0","--","--","30:09","0:00","0.0","0:00","No","07:53.32","3","0.0"
Running,2021-04-14 18:58:32,false,"Phoenix Running","3.35","458","00:38:57","147","160","3.9","150","158","11:37","9:51","41","43","0.92","0.0","0.0","0.0","0.0","0.0","--","--","38:57","0:00","0.0","0:00","No","04:07.60","4","0.0"
Strength Training,2021-04-14 08:21:30,false,"Strength","0.00","387","00:56:55","118","152","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","56:55","0:00","0.0","0:00","No","56:54.51","1","0.0"
Running,2021-04-11 17:56:24,false,"Phoenix Running","2.33","278","00:22:36","152","174","3.7","155","180","9:41","7:08","28","13","1.07","0.0","0.0","0.0","0.0","0.0","--","--","22:36","0:00","0.0","0:00","No","03:09.86","3","0.0"
