Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water
" Aug 24, 2021",,,,,,,
6:30 AM,174.0 lbs,0.4 lbs,23.6,21 %,73.7 lbs,11.1 lbs,57.7 %
" Aug 23, 2021",,,,,,,
6:05 AM,174.4 lbs,0.7 lbs,23.6,21.7 %,73.7 lbs,11.0 lbs,57.1 %
" Aug 22, 2021",,,,,,,
5:59 AM,175.1 lbs,1.9 lbs,23.7,22.2 %,73.9 lbs,11.0 lbs,56.8 %
" Aug 19, 2021",,,,,,,
6:15 AM,177.0 lbs,4.0 lbs,24,22 %,74.4 lbs,11.2 lbs,56.9 %
" Aug 18, 2021",,,,,,,
6:02 AM,173.0 lbs,0.9 lbs,23.4,21.3 %,73.4 lbs,10.9 lbs,57.4 %
" Aug 17, 2021",,,,,,,
7:21 AM,173.9 lbs,1.2 lbs,23.5,21.6 %,73.6 lbs,11.0 lbs,57.3 %
" Aug 16, 2021",,,,,,,
6:38 AM,175.1 lbs,0.5 lbs,23.7,21.7 %,73.9 lbs,11.0 lbs,57.2 %
" Aug 15, 2021",,,,,,,
7:21 AM,174.6 lbs,0.9 lbs,23.6,22 %,73.8 lbs,11.0 lbs,57.0 %
" Aug 14, 2021",,,,,,,
6:47 AM,173.7 lbs,0.5 lbs,23.5,21.8 %,73.6 lbs,10.9 lbs,57.1 %
" Aug 13, 2021",,,,,,,
6:03 AM,173.2 lbs,0.9 lbs,23.5,21.7 %,73.4 lbs,10.9 lbs,57.2 %
" Aug 12, 2021",,,,,,,
6:03 AM,174.1 lbs,0.0 lbs,23.6,21.3 %,73.7 lbs,11.0 lbs,57.5 %
" Aug 11, 2021",,,,,,,
7:09 AM,174.1 lbs,1.1 lbs,23.6,22 %,73.7 lbs,10.9 lbs,57.0 %
" Aug 10, 2021",,,,,,,
7:08 AM,173.0 lbs,1.1 lbs,23.4,21.7 %,73.4 lbs,10.8 lbs,57.1 %
" Aug 9, 2021",,,,,,,
6:17 AM,174.1 lbs,0.8 lbs,23.6,22 %,73.7 lbs,10.9 lbs,56.9 %
" Aug 8, 2021",,,,,,,
7:24 AM,173.3 lbs,1.0 lbs,23.5,22 %,73.5 lbs,10.8 lbs,56.9 %
" Aug 7, 2021",,,,,,,
6:30 AM,174.3 lbs,2.0 lbs,23.6,21.7 %,73.7 lbs,11.0 lbs,57.2 %
" Aug 6, 2021",,,,,,,
6:25 AM,172.3 lbs,0.5 lbs,23.3,21.9 %,73.2 lbs,10.8 lbs,57.0 %
" Aug 5, 2021",,,,,,,
8:03 AM,171.8 lbs,1.3 lbs,23.3,21.7 %,73.1 lbs,10.8 lbs,57.1 %
6:30 AM,173.1 lbs,0.0 lbs,23.4,22.9 %,73.4 lbs,10.6 lbs,56.3 %
" Aug 4, 2021",,,,,,,
6:43 AM,173.1 lbs,2.4 lbs,23.4,21.7 %,73.4 lbs,10.9 lbs,57.1 %
" Aug 2, 2021",,,,,,,
5:39 PM,175.5 lbs,0.0 lbs,23.8,--,--,--,--
6:36 AM,175.5 lbs,0.8 lbs,23.8,22.3 %,74.0 lbs,11.0 lbs,56.7 %
" Aug 1, 2021",,,,,,,
7:02 AM,174.6 lbs,1.3 lbs,23.7,22 %,73.8 lbs,11.0 lbs,57.0 %
" Jul 31, 2021",,,,,,,
6:42 AM,176.0 lbs,0.7 lbs,23.8,21.5 %,74.1 lbs,11.2 lbs,57.3 %
" Jul 30, 2021",,,,,,,
6:31 AM,176.7 lbs,0.0 lbs,23.9,21.9 %,74.3 lbs,11.2 lbs,57.0 %
